Cidade,Variável,Coef_Corr_Pearson,MAE,MSE
Aracaju,tempMax,0.923683089063281,0.4223512577053482,0.3010877222451726
Belo Horizonte,tempMax,0.9582600307235982,0.657188913077685,0.7693823036827002
Belém,tempMax,0.8830997970169499,0.5364436237610618,0.47923399674990647
Boa Vista,tempMax,0.8711915938939276,0.7902476653850006,1.1569771687090362
Cuiabá,tempMax,0.9091755689030694,1.1008548641546139,2.233818903467914
Curitiba,tempMax,0.9698696603940539,0.8849141501302279,1.3283479683645698
Florianópolis,tempMax,0.9623612946860262,0.7861885917712312,1.2404564175225326
Fortaleza,tempMax,0.8771259006002388,0.4307374926244259,0.32636778281294787
Goiânia,tempMax,0.9107724370566059,0.8416731682102835,1.2556999713214934
João Pessoa,tempMax,0.8921730327836344,0.430365915083191,0.3290204274315939
Macapá,tempMax,0.9299364498061389,0.512286808779981,0.45962661375368247
Maceió,tempMax,0.8931211407640866,0.6927306611786189,0.7913301445881796
Manaus,tempMax,0.9091792029972013,0.7150855946372352,0.8761611778078411
Natal,tempMax,0.9040817346044505,0.3539517457904392,0.24375932632589126
Palmas,tempMax,0.9313512213392363,0.8434851750714168,1.2299076977181642
Porto Alegre,tempMax,0.979455338932414,0.843436924863185,1.3108239449836272
Recife,tempMax,0.9241918217078096,0.4608056296916366,0.3779656365763551
Rio Branco,tempMax,0.8915698257509397,0.9637970713169903,1.6292217056710652
Rio de Janeiro,tempMax,0.9264517709783813,1.1602421634933577,2.613123074402696
Salvador,tempMax,0.9437985164269805,0.5355173504388056,0.49707582398104716
São Luis,tempMax,0.8845842878637915,0.5292568930452546,0.47884583596849084
São Paulo,tempMax,0.9611304186484192,0.9186816328012333,1.4853239850830977
Teresina,tempMax,0.905158347159883,0.8186618334528707,1.213792891239477
Vitória,tempMax,0.9570518130530891,0.695263256005074,0.8538026997679945
Aracaju,tempMin,0.8288456343642892,0.6068633139346412,0.643417929120346
Belo Horizonte,tempMin,0.9489148429804026,0.620208777482313,0.6543529748158414
Belém,tempMin,0.741641657372614,0.47764901985816066,0.3661690520537064
Boa Vista,tempMin,0.6582778323027885,6.596327581305495,45.93812628882611
Cuiabá,tempMin,0.9191696518422852,0.9453580109024302,1.618333246427667
Curitiba,tempMin,0.9677532319473365,0.7866127515673846,1.0470154997623315
Florianópolis,tempMin,0.9691939535141877,0.7773083289756771,1.063138806027563
Fortaleza,tempMin,0.8252474123559682,0.49110275521462793,0.4142138908089648
Goiânia,tempMin,0.9282879487132203,0.8160719995512242,1.1312180568356052
João Pessoa,tempMin,0.8671860482390803,0.7131967973917741,0.8107226504645394
Macapá,tempMin,0.7519551578094924,0.4643391607981738,0.3573665261858791
Maceió,tempMin,0.802845652062295,0.7400624538262006,0.927266774303812
Manaus,tempMin,0.7909251780421194,0.6766352432963556,0.7934575560228868
Natal,tempMin,0.8597512213312565,0.8491297267185569,1.2107966730810376
Palmas,tempMin,0.8813541274887664,0.7902528245364243,1.1320828989355483
Porto Alegre,tempMin,0.9773230113941205,0.7858890459388141,1.063189763588071
Recife,tempMin,0.8207171545162196,0.6812789581464385,0.7557900171638957
Rio Branco,tempMin,0.8642028569424318,0.9218589646301854,1.8131906234322344
Rio de Janeiro,tempMin,0.9318561390373417,0.7297223546604799,1.0383792305923476
Salvador,tempMin,0.8954533242444824,0.5521333489841772,0.5011961270140768
São Luis,tempMin,0.7938198374016908,0.5203738758075543,0.44989307442958704
São Paulo,tempMin,0.9617358981358128,0.6778097025770498,0.8342280672995132
Teresina,tempMin,0.7612929859631181,0.766673013307272,1.0340803690595055
Vitória,tempMin,0.9507425053270114,0.5093543147008834,0.4769048958485876
